item_position,included_in_common11,wording_2023,wording_2024,wording_2025,exact_after_question_number_whitespace_normalization,interpretation
1,True,Q33. 디지털 역량 수준 1) 온라인 간편결제를 이용해 물건을 살 수 있다,Q31. 디지털 역량 수준 1) 온라인 간편결제를 이용해 물건을 살 수 있다,Q29. 디지털 역량 수준 1) 온라인 간편결제를 이용해 물건을 살 수 있다,True,same wording after question-number/whitespace normalization
2,False,Q33. 디지털 역량 수준 2) 인터넷에서 가격 비교를 통해 저렴한 가격의 상품을 찾을 수 있다,Q31. 디지털 역량 수준 2) 당근마켓과 같은 중고 거래 앱을 통해 새 상품보다 저렴한 가격에 물건을 구매할 수 있다,Q29. 디지털 역량 수준 2) 당근마켓과 같은 중고 거래 앱을 통해 새 상품보다 저렴한 가격에 물건을 구매할 수 있다,False,substantive wording change; excluded
3,True,Q33. 디지털 역량 수준 3) 행정업무처리를 위한 전자민원서비스 이용할 수 있다,Q31. 디지털 역량 수준 3) 행정업무처리를 위한 전자민원서비스 이용할 수 있다,Q29. 디지털 역량 수준 3) 행정업무처리를 위한 전자민원서비스 이용할 수 있다,True,same wording after question-number/whitespace normalization
4,True,Q33. 디지털 역량 수준 4) 인터넷이나 앱을 이용해 교통수단을 예약·호출할 수 있다,Q31. 디지털 역량 수준 4) 인터넷이나 앱을 이용해 교통수단을 예약·호출할 수 있다,Q29. 디지털 역량 수준 4) 인터넷이나 앱을 이용해 교통수단을 예약·호출할 수 있다,True,same wording after question-number/whitespace normalization
5,False,Q33. 디지털 역량 수준 5) 인터넷에서 보험상품 등에 가입할 수 있다,Q31. 디지털 역량 수준 5) 스마트폰 앱을 통해 언제 어디서나 보험 상품 등에 가입할 수 있다,Q29. 디지털 역량 수준 5) 스마트폰 앱을 통해 언제 어디서나 보험 상품 등에 가입할 수 있다,False,substantive wording change; excluded
6,True,"Q33. 디지털 역량 수준 6) 키오스크로 음식 주문, 영화티켓 및 교통수단 승차권 구매, 병원 수납 등을 할 수 있다","Q31. 디지털 역량 수준 6) 키오스크로 음식 주문, 영화티켓 및 교통수단 승차권 구매, 병원 수납 등을 할 수 있다","Q29. 디지털 역량 수준 6) 키오스크로 음식 주문, 영화티켓 및 교통수단 승차권 구매, 병원 수납 등을 할 수 있다",True,same wording after question-number/whitespace normalization
7,True,Q33. 디지털 역량 수준 7) 방송통신심의위원회가 무슨 일을 하는지 알고 있다,Q31. 디지털 역량 수준 7) 방송통신심의위원회가 무슨 일을 하는지 알고 있다,Q29. 디지털 역량 수준 7) 방송통신심의위원회가 무슨 일을 하는지 알고 있다,True,same wording after question-number/whitespace normalization
8,True,"Q33. 디지털 역량 수준 8) 피싱 당했을 때, 신고하는 방법과 피해 구제방법을 알고 있다","Q31. 디지털 역량 수준 8) 피싱 당했을 때, 신고하는 방법과 피해 구제방법을 알고 있다","Q29. 디지털 역량 수준 8) 피싱 당했을 때, 신고하는 방법과 피해 구제방법을 알고 있다",True,same wording after question-number/whitespace normalization
9,True,"Q33. 디지털 역량 수준 9) 저작권이 침해됐을때, 신고하고 피해구제 받는 방법을 알고 있다","Q31. 디지털 역량 수준 9) 저작권이 침해됐을때, 신고하고 피해를 구제 받는 방법을 알고 있다","Q29. 디지털 역량 수준 9) 저작권이 침해됐을 때, 신고하고 피해구제 받는 방법을 알고 있다",False,near-equivalent wording; minor grammatical variation in remedy phrase
10,True,Q33. 디지털 역량 수준 10) 포털이나 소셜미디어에서 누군가 내 권리를 침해했을 때 신고하는 방법을 안다,Q31. 디지털 역량 수준 10) 포털이나 소셜미디어에서 누군가 내 권리를 침해했을 때 신고하는 방법을 안다,Q29. 디지털 역량 수준 10) 포털이나 소셜미디어에서 누군가 내 권리를 침해했을 때 신고하는 방법을 안다,True,same wording after question-number/whitespace normalization
